,category,content,title
0,business,"The RBI on Thursday kept the repo rate unchanged after five cuts this year. In 2019, the RBI has cut repo rate by 135 basis points so far but banks have passed on only a fraction of rate cuts to consumers. The status quo comes despite data showing growth slumping to a six-and-a-half-year low of 4.5% in the July-September quarter.",RBI keeps repo rate unchanged at 5.15% after five cuts this year
1,business,"Former Finance Minister P Chidambaram on Thursday said, ""Nothing sums up the state of the economy better than the following series of numbers: 8, 7, 6.6, 5.8, 5 and 4.5."" He added, ""Those are the quarterly growth rates of GDP in the last six quarters."" ""We'll be lucky if growth rate touches 5% by the year's end,"" he further said.","8, 7, 6.6, 5.8, 5 & 4.5 is the state of economy: Chidambaram on GDP growth"
2,business,Congress leader P Chidambaram walked out of Tihar Jail on Wednesday evening after spending 106 days in custody in connection with the INX Media case. His release came after the Supreme Court today granted him bail on conditions like surrendering his passport and making himself available for questioning. Chidambaram was arrested on August 21 by the Central Bureau of Investigation.,P Chidambaram walks out of Tihar Jail after 106 days
3,business,"Google Co-founders Sergey Brin and Larry Page added a combined $2.3 billion to their net worths after Google-parent Alphabet's stock rose about 2%, Bloomberg revealed. This came after Google's 47-year-old India-born CEO Sundar Pichai on Wednesday was also named Alphabet CEO. The two co-founders each own about 6% of the internet giant and still control Alphabet through special voting shares.",Google Co-founders gain $2.3B after Sundar Pichai made Alphabet CEO
4,business,"Tesla and SpaceX founder and CEO Elon Musk, in an ongoing defamation case by Thai cave rescuer Vernon Unsworth, testified that he estimates his net worth around $20 billion. However, Musk said his net worth comprises stocks in the aforementioned entities, with debt against those holdings, and is largely illiquid. The Bloomberg Billionaires Index puts his fortune at $26.6 billion.","Musk says in court his net worth is around $20 bn, not much in cash"
5,business,"In a bid to provide relief to depositors of scam-hit Punjab and Maharashtra Cooperative (PMC) Bank, Maharashtra government has suggested a merger of the bank with the Maharashtra State Cooperative Bank. If needed, the state government will speak to the RBI on the issue of the merger, state minister Jayant Patil said. He added that MSC Bank's health is good.",Maharashtra govt suggests merger of PMC Bank with MSC Bank
6,business,"The Finance Ministers of several states met Union Finance Minister Nirmala Sitharaman on Wednesday urging her to release the pending bi-monthly GST compensation, paid to states for their loss of revenue following GST implementation. ""We can't come to Delhi every day, we feel embarrassed. Government is under obligation to pay,"" Punjab Finance Minister Manpreet Singh Badal said after the meeting.","Feel embarrassed to ask, govt must pay: States to FM on GST compensation"
7,business,"Nirav Modi has been declared a fugitive economic offender under Fugitive Economic Offenders Act by a special Mumbai court in connection with ₹14,000-crore Punjab National Bank scam case. The court will also give a judgement regarding confiscation of his properties later. Nirav is currently lodged in the UK's Wandsworth Prison.","Nirav Modi declared fugitive economic offender over ₹14,000-crore PNB scam"
8,business,"Airtel has said it would raise up to ₹21,500 crore via debt and equity after a recent Supreme Court ruling asked telecom companies to pay ₹92,000 crore to the government. It reported a loss of ₹23,045 crore for the September quarter after it made a provision for the dues. Airtel and Vodafone Idea had recently sought relief from the government. ","Airtel to raise up to ₹21,500 crore after SC ruling on past dues"
9,business,"The RBI on Thursday lowered its GDP growth forecast for 2019-20 to 5% from 6.1% in the October policy. While it kept the repo rate unchanged at 5.15%, the RBI reiterated that it would maintain an accommodative stance as long as it is necessary to revive growth. ""There is space available for further monetary policy action,"" Governor Shaktikanta Das said.",RBI cuts India's GDP growth forecast for the current fiscal to 5%
10,business,"Vistara Chief Commercial Officer Sanjiv Kapoor responded to a Twitter user who posted a picture of an air hostess sleeping at an airport. The user asked Vistara to ""improve"" its image.  ""We don't condone such photos being taken of our crew...without permission. Our crew...are human too. We suggest you do the right thing and take the photo down,"" Kapoor said.",Our crew are human too: Vistara after user posts pic of air hostess sleeping
11,business,Reliance Jio on Wednesday unveiled new prepaid plans that are up to 39% costlier and will be applicable from December 6. Jio will now charge customers ₹555 for an 84-day plan with 1.5 GB data/day compared to Airtel at ₹598 and Vodafone Idea at ₹599. The revised tariffs of Airtel and Vodafone Idea went into effect on December 3.,"Jio to hike tariffs by up to 39% from December 6, reveals new plans"
12,business,"Roh Soh-yeong, the wife of South Korean conglomerate SK Group's Chairman Chey Tae-won, has filed for divorce. Roh reportedly wants SK Holdings shares worth $1.2 billion held by Chey, who is its biggest shareholder. In 2017, two years after publicly confessing that he had extramarital affairs, Chey sought a court-mediated divorce but the two failed to reach an agreement.","S Korea's SK Group Chairman's wife files for divorce, seeks $1.2 billion"
13,business,"Swedish manufacturer Saab has said it wants to control the ""entire system"" including local manufacturing if it wins India's $15-billion contract for 114 fighter jets. Saab has partnered with Adani Group for the bid. ""If a company needs to take responsibility for quality, time, cost and capability...I want to have some sort of control of that,"" CEO Micael Johansson said.",Want control of manufacturing if we win $15bn India fighter jet deal: Saab
14,business,"The Indonesian government has decided to fire flag carrier Garuda Indonesia's CEO Ari Askhara for smuggling a Harley-Davidson bike worth ₹41 lakh into the country on a new Airbus plane from France. Askhara had ordered the bike last year and bought it in April 2019. The payment was made through a Garuda finance manager based in Amsterdam, the government said.
",Indonesia fires flag carrier's CEO for smuggling ₹41 lakh Harley on jet
15,business,"The Initial Public Offering of Ujjivan Small Finance Bank was subscribed 166 times on the last day, becoming the most subscribed IPO of 2019. It overtook Indian Railway Catering And Tourism Corporation's (IRCTC) IPO, which was subscribed 112 times. The market value of the lender, which aimed to raise nearly ₹750 crore, will be nearly ₹6,400 crore after the IPO.","Ujjivan Small Finance Bank IPO becomes 2019's most subscribed, beats IRCTC"
16,business,"Ford and McDonald's have partnered for a project in which the carmaker will use coffee bean waste to make auto parts like headlamp housings. Ford will use coffee chaff - bean husk that comes off during roasting - which can be mixed with plastic and formed into shapes. Notably, Ford has been using soy-based foam in its cushions since 2011.",Ford to use McDonald's coffee bean waste to make car parts
17,business,"A study by a British organisation that certifies businesses for good tax conduct stated six of Silicon Valley's top tech giants avoided paying over $100 billion in taxes over the past decade. It analysed global tax payments made by Amazon, Facebook, Google, Apple, Netflix and Microsoft. The research found over a $100-billion difference between their provisions and actual taxes paid. ",6 tech giants contributed to $100 bn 'tax gap' in 10 yrs: Study
18,business,"Over 92,000 employees of BSNL and MTNL have opted for voluntary retirement, Union Minister Ravi Shankar Prasad said. ""The VRS scheme will pave the way for a leaner meaner force,"" Prasad added. He further said that 75% of the BSNL revenue is spent on the salaries of its employees, whereas the MTNL is spending 87% of its revenue on salaries.","Over 92,000 BSNL, MTNL employees opted for VRS: Union Minister"
19,business,"Shares of Kerala-based CSB Bank listed at 41% premium against its issue price of ₹195 per share on the first day of trade on Wednesday. The stock extended gains and rallied 57% to hit a high of about ₹307 on the exchange and settled at 54% higher at ₹300. The ₹410-crore IPO of CSB Bank was subscribed nearly 87 times.
",CSB Bank share lists at 41% premium to issue price in trading debut
20,business,"IL&FS has reported a loss of ₹22,527 crore for the year ended March 2019 compared to a net profit of ₹333 crore last year. The company has posted a revenue of ₹824 crore, against ₹1,734 crore in the previous year and its liabilities rose to ₹21,083 crore. IL&FS is currently undergoing a debt resolution process in the bankruptcy court.","IL&FS reports ₹22,527 crore net loss for FY19"
21,business,"Canada Pension Plan Investment Board (CPPIB) will invest up to $600 million through the National Investment and Infrastructure Fund (NIIF) Master Fund. CPPIB will also become a shareholder in NIIF's investment management firm. With CPPIB's investment, NIIF's Master Fund now has $2.1 billion in commitments including investment from AustralianSuper and Ontario Teachers' Pension Plan.",Canada's CPPIB to invest up to $600 mn through NIIF Master Fund
22,business,"The Reserve Bank of India (RBI) has raised its lending limit to peer-to-peer (P2P) platforms five-folds to ₹50 lakh from current ₹10 lakh. However, the exposure of a single borrower is capped at ₹50,000 across all NBFC-P2P platforms. The decision was made after ""a review of the functioning of the lending platforms and lending limit was carried out by RBI.""",RBI raises peer-to-peer lending limit five-times to ₹50 lakh
23,business,"State Bank of India will cut its stake in mutual fund UTI Asset Management Company (UTI AMC) by about 8.25% through an initial public offering. The bank holds an 18.24% stake in the company. SBI will cut its stake in UTI AMC through an offer for sale of up to 10.5 million shares, the bank said in a filing. ",SBI to cut 8% stake in UTI mutual fund through IPO
24,business,"RBI Governor Shaktikanta Das said central bank has ""a fairly good idea"" of where NBFC sectors' vulnerabilities lie and are closely monitoring it. ""We are, wherever required, making a deep dive into their books, their balance sheet and other numbers,"" Das said. The NBFC sector has reportedly been facing a funding crunch since 2018 after defaults at IL&FS Group subsidiaries.
",RBI has good idea of vulnerabilities in NBFC sector: Shaktikanta Das
25,sports,"During a Mzansi Super League match against Durban Heat, Paarl Rocks' South African spinner Tabraiz Shamsi celebrated Wihan Lubbe's wicket by performing a magic trick on the field. The 29-year-old took out red handkerchief from his pocket and turned it into a stick. Shamsi had earlier said that he wanted to become a magician from the age of about 15-16.","South African bowler celebrates wicket with magic trick, video goes viral"
26,sports,"On December 4, 2009, Virender Sehwag was dismissed for 293(254) on the third day of the Mumbai Test against Sri Lanka, falling short by just seven runs to become the first cricketer to hit three Test triple centuries. Sehwag, whose innings included 40 fours and seven sixes, was dismissed by Muttiah Muralitharan in the fourth over of the day.",Sehwag fell short by 7 runs to become 1st player with 3 triple tons
27,sports,"Pakistani fans criticised opener Imam-ul-Haq over his laughing picture with Justin Langer following Pakistan's defeat against Australia. ""This shameless man doesn't deserve to be in team,"" a fan wrote. Defending Imam, ex-Australian pacer Jason Gillespie tweeted, ""Players on losing side are disappointed...I thought it was fantastic...Imam was spending time with...Langer talking about cricket.""","Pak fans criticise Imam-ul-Haq over laughing picture, Gillespie responds"
28,sports,"Legend Don Bradman smashed 185 runs to help Australia post 382 against India in a Test that ended on December 4, 1947. India were dismissed for 58 in the first innings and 98 in the second and their combined score of 156 could not overhaul Bradman's individual score. The highest score for India in the match was Chandu Sarwate's 26.","Bradman once hit 185 in 1 innings, India scored 156 in entire match"
29,sports,"Former Pakistan all-rounder Abdul Razzaq has said that Virat Kohli is a good player for India but he cannot be placed in the same category as Sachin Tendulkar. ""There were world-class players from 1992 to 2007. Now there are no longer world-class players. There is no depth in bowling, batting or fielding. It is all basic now,"" he added.",Virat a good player but can't be put in same category as Sachin: Razzaq
30,sports,"Ahead of first T20I against West Indies, India captain Virat Kohli said that the team ""certainly"" believes in wicketkeeper-batsman Rishabh Pant's ability. ""He can't be isolated to such an extent that he doesn’t do well,"" ""If he misses a chance or something, you know, people can't shout MS' (MS Dhoni) name in the stadium, it's not respectful,"" he added.","If Rishabh Pant makes a mistake, stands can't shout Dhoni's name: Kohli"
31,sports,"Off-spinner Ravichandran Ashwin has said that he wants to represent India in limited-overs cricket and wants to play the 2020 T20 World Cup. ""Who does not want to represent India in the 2020 T20 World Cup. Yuvraj Singh came back for World T20 in 2014 and then in 2017 Champions Trophy. I am only 33,"" he added.",Who doesn't want to represent India in T20 World Cup: Ashwin
32,sports,"Pakistan Railways dismissed Dera Ismail Khan for 59 runs combined in two innings after registering 910/6 in their first innings in a first-class match which ended on December 4, 1964. Pakistan Railways' winning margin of an innings and 851 runs is the biggest first-class victory ever. The match witnessed a triple ton, a double hundred, two hundreds and 11 ducks.",Team once took 20 wkts for 59 after hitting 910 in 1 innings
33,sports,"Italian newspaper 'Corriere dello Sport' has been criticised for a front page with headline 'Black Friday' in regards to ex-Manchester United teammates Romelu Lukaku and Chris Smalling facing each other. ""The media fuels racism every day,"" The Fare network, which works against discrimination in football, tweeted. ""We are and will always be against all forms of discrimination,"" Inter Milan tweeted.","Italian paper labels clash of black footballers as 'Black Friday', criticised"
34,sports,"Former Indian cricketer Ajit Agarkar scored only one international hundred in his career, which came in a Test against England at Lord's in July 2002. Batting at number eight, Agarkar slammed an unbeaten 109, becoming the seventh Indian to smash a Test ton at Lord's. Agarkar, who turned 42 today, also hit the fastest fifty by an Indian in ODIs.","Agarkar scored only 1 ton in int'l cricket, it was at Lord's"
35,sports,"Front foot no-balls in the T20I and ODI series between India and West Indies will be called by third umpire and not on-field officials, the ICC announced. ""If a late no-ball call is communicated...on-field umpire will rescind a dismissal (if applicable) and call no-ball,"" ICC said. It added the benefit of doubt in close calls will lie with the bowler.","3rd umpire, not on-field umpires, to call front foot no-balls in India-WI series"
36,sports,"Batsman Kedar Jadhav took to Instagram to share pictures of himself with a bat in his hand. ""Feels good to be back on the field and do what I like to do,"" Jadhav captioned the pictures. Trolling Jadhav for posing with the bat, Team India opener Rohit Sharma wrote, ""Pose kam maar, batting karle thoda.""","Pose kam maar, batting karle thoda: Rohit trolls Jadhav over Instagram pics"
37,sports,"Former England captain Bob Willis has died at the age of 70 after battle with cancer. The former fast bowler played in 90 Tests and 64 ODIs for England after his 1971 debut and retired in 1984. Finishing his Test career with 325 wickets, Willis stands at fourth on the all-time list of England wicket-takers.",Former England captain Bob Willis dies aged 70 due to cancer
38,sports,"Afghanistan leg-spinner Rashid Khan took to Twitter to wish his SunRisers Hyderabad teammate Manish Pandey on getting married. ""Congratulations my brother @im_manishpandey Raja wishing you a lifetime of happiness together and a love that grows stronger with each passing day. Lekan Invite Q nahi kya (But why didn't you invite me?),"" Rashid wrote. Manish married South Indian actress Ashrita Shetty.",Invite kyun nahi kiya: Rashid Khan wishes Manish Pandey on getting married
39,sports,"Cheteshwar Pujara has been named in the 16-member Saurashtra squad for its first two games in the Ranji Trophy, beginning from December 9. Saurashtra, who lost to Vidarbha in last year's Ranji Trophy final, are placed in the Elite Group B and will play their first match against Himachal Pradesh in Dharamshala. Left-arm pacer Jaydev Unadkat will lead Saurashtra.",Pujara to play first two games for Saurashtra in Ranji Trophy
40,sports,"On being asked about his plans for India captain Virat Kohli, West Indies coach Phil Simmons jokingly said that they can maybe have two bowlers to bowl at Kohli at the same time. Another option is to ""make him bat with a stump,"" Phil added. ""We can make sure that the bowlers don't get too scared of him,"" he stated.",We can make him bat with a stump: WI coach on how to get Kohli out
41,sports,"West Indies limited-overs captain Kieron Pollard has said that there's a need to protect young Windies cricketers from ""vultures"" who are out there to pull them down. ""They (young players) need experience and we need to back these guys,"" he added. Windies are set to play against India without some of their senior players including Carlos Brathwaite, Chris Gayle. 
",Need to protect West Indies youngsters from 'vultures': Pollard
42,sports,"Real Madrid forward Eden Hazard is likely to miss La Liga's El Clasico against Barcelona, to be held on December 19 at 12.30 am (IST), after being diagnosed with a fractured ankle. Hazard was injured during last week's 2-2 draw against Paris Saint-Germain in the Champions League group stage match. Today Madrid revealed that Hazard has ""an incomplete external microfracture"".
",Eden Hazard may miss El Clasico after ankle fracture
43,sports,"On being included in the squads for T20I and ODI series against West Indies, all-rounder Shivam Dube said that it's not an opportunity to replace Hardik Pandya. ""I have got a job for my country and I will try to do that better,"" he added. Dube made his India debut during the T20I series against Bangladesh last month. ",I'm not here to replace Hardik Pandya: Shivam Dube 
44,sports,"After Tottenham Hotspur lost to Manchester United 1-2 at Old Trafford late on Wednesday, Spurs manager Jose Mourinho said that his former club deserved to win. ""I think for the first 30 minutes they were the best team,"" he added. This was the Spurs' first defeat under Mourinho after having won three games in a row. ",Man Utd deserved to win: Jose Mourinho after Spurs defeat
45,sports,"Former Windies pacer Ian Bishop has said that the foundation of the current Indian pacers was laid by the likes of Kapil Dev. ""Now it's been built on with a captain who likes fast bowlers, who believe[s] in them,"" he added. Calling Bumrah a ""generational talent"", Bishop stated that both Shami and Ishant have taken their games to ""another level"".
",Foundation of Indian pace attack laid by likes of Kapil Dev: Bishop
46,sports,"Former Manchester United and Barcelona striker Zlatan Ibrahimovic has hinted at his return to Serie A by saying ""see you soon in Italy"" during an interview. This comes amid reports of the Swedish forward being offered a six-month deal by his former Italian side AC Milan. Last month, Ibrahimovic announced his decision to part ways with MLS club LA Galaxy.",See you soon in Italy: Zlatan Ibrahimovic hints at Serie A return
47,sports,Indian men's doubles pair of Satwiksairaj Rankireddy and Chirag Shetty and para-shuttler Pramod Bhagat have been nominated for 'Most Improved Player of the Year' and 'Male Para Badminton Player of the Year' respectively by the Badminton World Federation (BWF). The awards will be presented on December 9 in Guangzhou during the opening ceremony of BWF World Tour Finals. ,"Satwik-Chirag, Pramod Bhagat nominated for BWF Awards 2019"
48,sports,"Former Australia captain Ian Chappell has said that the current Pakistan cricket team is ""probably the worst of the lot"". This comes after Pakistan failed to win a single match during their three-T20I and two-Test match series Down Under. Pakistan last won their Test in Australia in 1995 and since then have lost 14 straight Tests on Australian soil. ",Current Pakistan team probably worst of the lot: Ian Chappell
49,sports,"India captain Virat Kohli has said that there's only one spot to be filled in the Team's pace attack for the ICC T20 World Cup set to be held in Australia next year. ""I think Bhuvi (Bhuvneshwar) and (Jasprit) Bumrah are experienced bowlers…(Mohammed) Shami is coming back,"" he added suggesting that the three have most likely sealed their places.",Only one spot left in Team's pace attack for T20 World Cup: Kohli
